CODMUNRES,ANO,OBITOS_PERINATAIS,OBITOS_NEONATAIS,OBITOS_INFANTIS,OBITOS_TOTAIS
110080,2018,0,0,5,122
110080,2019,0,0,8,128
110090,2012,0,0,1,17
110090,2013,0,1,1,14
110090,2014,0,0,1,16
110090,2015,0,0,1,17
110090,2016,0,0,3,20
110092,2012,0,0,3,24
110092,2013,0,0,2,31
110092,2014,0,0,1,25
110092,2015,0,0,5,42
110092,2016,0,0,2,39
110092,2017,0,1,1,32
110092,2018,0,0,1,32
110092,2019,0,0,1,41
110094,2012,0,0,4,54
110094,2013,0,0,5,47
110094,2014,0,0,4,47
110094,2015,0,0,4,50
110094,2016,0,0,2,49
110094,2017,0,0,2,55
110094,2018,0,0,3,44
110100,2012,0,0,4,32
110100,2013,0,1,2,41
110100,2014,0,0,2,51
110100,2015,0,0,1,35
110100,2016,0,0,1,42
110100,2017,0,0,1,37
110100,2018,0,0,3,56
110100,2019,0,0,2,58
110110,2012,0,0,1,36
110110,2014,0,0,2,42
110110,2016,0,0,1,36
110110,2017,0,0,2,40
110120,2012,0,0,4,39
110120,2013,0,0,3,61
110120,2014,0,0,4,47
110120,2015,0,0,1,48
110120,2018,1,0,1,46
110130,2012,0,0,4,53
110130,2013,0,0,2,54
110130,2014,0,0,1,47
110130,2015,0,0,2,57
110130,2016,0,0,2,52
110130,2017,0,0,2,70
110130,2018,0,0,1,55
110130,2019,0,0,1,62
110140,2012,0,0,1,45
110140,2013,0,0,4,60
110140,2014,0,0,1,62
110140,2015,1,0,3,69
110140,2016,0,0,2,54
110140,2017,0,0,2,62
110140,2018,0,0,2,66
110140,2019,0,0,2,98
110143,2013,0,0,3,20
110143,2014,0,0,1,28
110143,2015,0,0,2,30
110143,2016,0,0,1,35
110143,2018,0,0,1,33
110143,2019,0,0,1,30
110145,2013,0,0,2,13
110145,2014,0,0,1,21
110145,2017,0,0,2,14
110145,2018,0,0,2,13
110146,2012,0,0,1,8
110146,2014,0,0,1,7
110146,2016,0,0,1,15
110146,2018,0,0,2,10
110147,2012,0,0,1,21
110147,2017,2,0,0,15
110147,2018,0,0,1,16
110147,2019,1,0,1,27
110148,2013,0,0,1,20
110148,2014,0,0,1,19
110148,2015,0,0,1,21
110148,2017,0,0,1,31
110148,2019,0,0,2,39
110149,2013,0,0,2,39
110149,2014,0,0,5,70
110149,2015,0,0,1,72
110149,2016,0,1,3,52
110149,2017,0,0,4,90
110149,2018,0,1,6,77
110149,2019,0,0,4,83
110150,2012,0,1,2,47
110150,2013,0,0,2,46
110150,2014,0,0,4,56
110150,2015,0,0,4,44
110150,2016,0,0,1,41
110150,2017,0,0,2,67
110150,2018,0,0,1,51
110150,2019,0,0,2,57
