CODMUNRES,ANO,AVG_PM25,MIN_PM25,MAX_PM25,BAIXO_PESO,TOTAL,OBITOS_PERINATAIS,OBITOS_NEONATAIS,OBITOS_INFANTIS,OBITOS_TOTAIS,IDH
110009,2013,10.56705640718095,0.0,76.69999694824219,22,458,0,1,7,132,0.672
110009,2014,13.318848520966734,0.0,162.3000030517578,24,488,1,0,10,152,0.672
110009,2015,18.6383665040207,0.0,681.5,27,547,0,0,8,149,0.672
110009,2016,14.50336306895511,0.0,137.6999969482422,38,478,0,0,7,155,0.672
110009,2017,16.49039780183482,0.0,218.10000610351562,16,524,0,0,4,143,0.672
110009,2018,16.049725280112618,0.0,212.5,18,474,0,1,5,148,0.672
110009,2019,15.657534269988536,0.0,82.80000305175781,24,442,0,0,8,167,0.672
110010,2012,18.723819293127658,0.0,526.0,57,923,0,0,11,206,0.657
110010,2013,14.859150118334314,0.0,389.0,58,876,0,0,11,213,0.657
110010,2014,14.965273976525012,0.10000000149011612,309.8999938964844,48,913,0,0,19,209,0.657
110010,2015,22.758767132583547,0.0,537.2999877929688,44,817,0,0,16,208,0.657
110010,2016,21.47926082437084,0.0,471.20001220703125,56,874,0,0,16,211,0.657
110010,2017,22.735322327034954,0.0,308.70001220703125,47,829,0,0,18,228,0.657
110010,2018,29.004526764563245,0.0,1323.0,46,918,0,1,21,240,0.657
110010,2019,19.497945236873953,0.0,222.60000610351562,42,773,0,1,7,216,0.657
110011,2012,16.00444592588496,0.0,318.5,48,793,0,0,11,221,0.689
110011,2013,10.826717043597414,0.0,234.3000030517578,59,897,0,0,13,227,0.689
110011,2014,14.446438328921795,0.0,216.1999969482422,43,855,0,0,9,255,0.689
110011,2015,20.241729578198886,0.0,396.20001220703125,36,771,0,0,12,261,0.689
110011,2016,15.197597803019995,0.0,166.5,41,793,0,0,10,259,0.689
110011,2017,18.76363012637586,0.0,358.29998779296875,52,828,0,0,7,267,0.689
110011,2018,17.52170333783091,0.0,321.1000061035156,56,894,0,0,11,272,0.689
110011,2019,17.765753424841247,0.0,231.0,43,864,0,0,4,277,0.689
110012,2012,11.866369862068598,0.0,95.69999694824219,111,2052,0,1,24,662,0.714
110012,2013,10.203168050368053,0.0,65.0999984741211,101,1934,0,1,29,670,0.714
