populacao,municipio
26302,2100303
8066,2100402
26839,2100436
31894,2100477
11168,2100501
6918,2100550
41136,2100600
26614,2100709
15566,2100808
17063,2100832
15297,2100873
46103,2100907
32637,2100956
29764,2101004
12076,2101103
104633,2101202
16855,2101251
18508,2101301
5617,2101350
93826,2101400
18714,2101509
87794,2101608
61828,2101707
7409,2101731
11138,2101772
5627,2101806
21260,2101905
6011,2101939
9158,2101970
41435,2102002
33479,2102036
16148,2102077
36139,2102101
9367,2102150
28557,2102200
23827,2102309
71723,2102325
15393,2102358
9382,2102374
11136,2102408
19307,2102507
14294,2102556
20076,2102606
21872,2102705
10932,2102754
24337,2102804
23658,2102903
164224,2103000
10657,2103109
8604,2103125
13243,2103158
21399,2103174
79145,2103208
14617,2103257
122597,2103307
49246,2103406
41042,2103505
16072,2103554
65044,2103604
32765,2103703
12901,2103752
23328,2103802
11296,2103901
17379,2104008
41355,2104057
8481,2104073
10258,2104081
18917,2104099
12615,2104107
15536,2104206
11672,2104305
17924,2104404
10793,2104503
18068,2104552
16772,2104602
7772,2104628
10211,2104651
25616,2104677
6263,2104701
68876,2104800
12063,2104909
28498,2105005
26953,2105104
14026,2105153
11252,2105203
258016,2105302
15897,2105351
67673,2105401
25932,2105427
9993,2105450
16432,2105476
23696,2105500
16136,2105609
3506,2105658
49911,2105708
10808,2105807
16199,2105906
11235,2105922
8889,2105948
11320,2105963
7496,2105989
11867,2106003
12098,2106102
6917,2106201
19620,2106300
21201,2106326
7810,2106359
16013,2106375
16679,2106409
23256,2106508
33615,2106607
16451,2106631
8445,2106672
21000,2106706
28001,2106755
14913,2106805
33201,2106904
9209,2107001
19292,2107100
14264,2107209
5340,2107258
4683,2107308
20774,2107357
19448,2107407
14563,2107456
120621 ,2107506
19661,2107605
21290,2107704
34805,2107803
18898,2107902
19358,2108009
15901,2108058
21015,2108108
39267,2108207
24930,2108256
38203,2108306
14291,2108405
23025,2108454
32815,2108504
82990,2108603
21594,2108702
18527,2108801
18157,2108900
23675,2109007
5995,2109056
47567,2109106
12629,2109205
6959,2109239
18764,2109270
11124,2109304
15197,2109403
30337,2109452
20243,2109502
7755,2109551
42482,2109601
5663,2109700
7719,2109759
41770,2109809
88590,2109908
72440,2110005
25134,2110039
25519,2110104
37404,2110203
13223,2110237
15654,2110278
14534,2110302
18608,2110401
44811,2110500
28343,2110609
7363,2110658
34368,2110708
4609,2110807
11652,2110856
12201,2110906
20629,2111003
15828,2111029
11162,2111052
18438,2111078
25860,2111102
176321,2111201
7642,2111250
1094667,2111300
18988,2111409
41350,2111508
12645,2111532
4651,2111573
18755,2111607
5345,2111631
6649,2111672
22142,2111706
13730,2111722
11067,2111748
14367,2111763
10206,2111789
18001,2111805
10639,2111904
5645,2111953
8459,2112001
29064,2112100
167973,2112209
21885,2112233
5826,2112274
41621,2112308
35497,2112407
25365,2112456
58311,2112506
32775,2112605
55841,2112704
52229,2112803
13183,2112852
32664,2112902
31525,2113009
51471,2114007
7065,2200053
5148,2200103
17349,2200202
7636,2200251
4912,2200277
14268,2200301
40440,2200400
5392,2200459
17592,2200509
6792,2200608
9818,2200707
3158,2200806
5844,2200905
2551,2200954
4735,2201002
7828,2201051
11252,2201101
11497,2201150
3950,2201176
46941,2201200
3344,2201309
7038,2201408
26806,2201507
3999,2201556
3544,2201572
10462,2201606
5495,2201705
6200,2201739
6744,2201770
4496,2201804
24960,2201903
5608,2201919
5654,2201929
6388,2201945
8310,2201960
3902,2201988
19754,2202000
8223,2202026
10540,2202059
3544,2202075
7608,2202083
5770,2202091
5603,2202109
5019,2202117
5919,2202133
7245,2202174
46770,2202208
3957,2202251
21112,2202307
11388,2202406
4086,2202455
10866,2202505
5845,2202539
5049,2202554
19715,2202604
5395,2202653
27725,2202703
4881,2202711
6140,2202729
4007,2202737
6451,2202752
7651,2202778
4798,2202802
4678,2202851
26575,2202901
8264,2203008
10401,2203107
11348,2203206
4939,2203230
4425,2203255
5316,2203271
13793,2203305
6992,2203354
6884,2203404
4356,2203420
9546,2203453
14630,2203503
4900,2203602
39621,2203701
5295,2203750
4464,2203800
2556,2203859
59840,2203909
5349,2204006
4373,2204105
3166,2204154
9262,2204204
11590,2204303
5424,2204352
10686,2204402
10500,2204501
4556,2204550
3875,2204600
9394,2204659
