CODMUNRES,ANO,BAIXO_PESO,TOTAL
110130,2014,5,130
110130,2015,12,169
110130,2016,14,147
110130,2017,3,152
110130,2018,14,156
110130,2019,11,158
110140,2012,4,162
110140,2013,8,220
110140,2014,6,196
110140,2015,16,239
110140,2016,8,171
110140,2017,8,194
110140,2018,13,213
110140,2019,14,196
110143,2012,5,89
110143,2013,1,82
110143,2014,1,109
110143,2015,6,72
110143,2016,5,89
110143,2017,6,93
110143,2018,2,85
110143,2019,10,104
110145,2012,4,61
110145,2013,4,55
110145,2014,0,49
110145,2015,2,54
110145,2016,1,50
110145,2017,2,51
110145,2018,3,53
110145,2019,5,42
110146,2012,3,51
110146,2013,3,42
110146,2014,3,37
110146,2015,1,52
110146,2016,2,33
110146,2017,2,48
110146,2018,0,50
110146,2019,0,40
110147,2012,4,43
110147,2013,1,39
110147,2014,0,45
110147,2015,2,38
110147,2016,1,50
110147,2017,2,56
110147,2018,2,38
110147,2019,1,38
110148,2012,2,62
110148,2013,5,61
110148,2014,3,59
110148,2015,9,69
110148,2016,3,54
110148,2017,1,70
110148,2018,0,54
110148,2019,2,52
110149,2012,9,244
110149,2013,11,261
110149,2014,10,304
110149,2015,12,307
110149,2016,16,304
110149,2017,17,327
110149,2018,28,314
110149,2019,14,300
110150,2012,5,190
110150,2013,11,182
110150,2014,8,168
110150,2015,9,184
110150,2016,6,167
110150,2017,7,184
110150,2018,2,148
110150,2019,9,162
110155,2012,6,57
110155,2013,3,80
110155,2014,1,68
110155,2015,6,64
110155,2016,1,58
110155,2017,3,57
110155,2018,2,60
110155,2019,4,62
110160,2012,6,129
110160,2013,3,106
110160,2014,5,123
110160,2015,4,103
110160,2016,6,129
110160,2017,8,141
110160,2018,8,123
110160,2019,3,96
110170,2012,12,144
110170,2013,9,148
110170,2014,8,120
110170,2015,5,135
110170,2016,7,148
110170,2017,11,147
110170,2018,6,139
110170,2019,10,166
110175,2012,7,85
110175,2013,11,89
110175,2014,4,124
110175,2015,8,100
110175,2016,4,110
110175,2017,2,86
110175,2018,6,91
110175,2019,4,92
110180,2012,7,79
110180,2013,3,107
110180,2014,3,86
110180,2015,5,63
110180,2016,6,94
110180,2017,3,77
110180,2018,3,95
110180,2019,3,79
120000,2012,0,1
120001,2012,21,248
120001,2013,16,253
120001,2014,15,263
120001,2015,11,215
120001,2016,12,216
120001,2017,20,256
120001,2018,12,210
120001,2019,14,249
120005,2012,7,182
120005,2013,9,211
120005,2014,12,192
120005,2015,10,235
120005,2016,10,189
120005,2017,13,225
120005,2018,17,250
120005,2019,10,258
120010,2012,19,489
120010,2013,32,522
120010,2014,35,530
120010,2015,36,526
120010,2016,30,475
120010,2017,35,566
120010,2018,22,534
120010,2019,21,532
120013,2012,14,196
120013,2013,13,194
120013,2014,17,236
120013,2015,11,242
120013,2016,19,248
120013,2017,27,303
120013,2018,26,294
120013,2019,17,318
120017,2012,18,195
120017,2013,10,188
120017,2014,11,230
120017,2015,12,219
120017,2016,16,190
120017,2017,13,236
120017,2018,19,215
120017,2019,13,211
120020,2012,123,1706
120020,2013,114,1757
120020,2014,157,1786
120020,2015,121,1785
120020,2016,110,1607
120020,2017,108,1646
120020,2018,104,1713
120020,2019,115,1769
120025,2012,20,275
120025,2013,14,268
120025,2014,11,255
120025,2015,11,276
120025,2016,24,263
120025,2017,15,289
120025,2018,18,270
120025,2019,16,307
120030,2012,47,881
120030,2013,32,777
120030,2014,39,814
120030,2015,46,754
120030,2016,48,818
120030,2017,37,814
120030,2018,56,826
120030,2019,44,864
120032,2012,26,263
120032,2013,35,262
120032,2014,26,280
120032,2015,21,270
120032,2016,18,252
120032,2017,21,257
120032,2018,22,268
120032,2019,17,211
120033,2012,17,370
120033,2013,32,393
120033,2014,18,406
120033,2015,23,376
120033,2016,20,321
120033,2017,10,349
120033,2018,22,361
120033,2019,30,338
120034,2012,26,253
120034,2013,23,223
120034,2014,21,240
120034,2015,26,259
120034,2016,19,228
120034,2017,17,253
120034,2018,15,247
120034,2019,10,226
120035,2012,22,467
120035,2013,21,476
120035,2014,28,447
120035,2015,33,439
120035,2016,17,342
120035,2017,30,386
120035,2018,37,395
120035,2019,36,438
120038,2012,17,347
120038,2013,27,326
120038,2014,25,317
120038,2015,20,348
120038,2016,27,335
120038,2017,18,302
120038,2018,19,302
120038,2019,21,316
120039,2012,15,329
120039,2013,16,285
120039,2014,13,241
120039,2015,14,259
120039,2016,16,228
120039,2017,19,280
120039,2018,16,252
120039,2019,13,260
120040,2012,520,6423
120040,2013,536,7002
120040,2014,512,6859
120040,2015,564,6836
120040,2016,520,6520
120040,2017,439,6364
120040,2018,467,6362
120040,2019,441,6223
120042,2012,23,385
120042,2013,24,359
120042,2014,25,388
120042,2015,20,388
120042,2016,18,297
120042,2017,19,337
120042,2018,22,371
120042,2019,28,330
120043,2012,7,207
120043,2013,10,217
120043,2014,8,179
120043,2015,12,146
120043,2016,4,95
120043,2017,18,198
120043,2018,15,200
120043,2019,23,183
120045,2012,32,386
120045,2013,36,417
120045,2014,34,447
120045,2015,35,429
120045,2016,22,393
120045,2017,30,391
120045,2018,43,465
120045,2019,25,415
120050,2012,60,921
120050,2013,68,880
120050,2014,42,804
120050,2015,41,829
120050,2016,48,739
120050,2017,45,763
120050,2018,45,784
120050,2019,40,748
120060,2012,48,1149
120060,2013,43,1122
120060,2014,40,1216
120060,2015,41,1140
120060,2016,43,1054
120060,2017,58,1105
120060,2018,57,1180
120060,2019,63,1121
120070,2012,14,304
120070,2013,14,281
120070,2014,15,295
120070,2015,16,314
120070,2016,22,324
120070,2017,20,298
120070,2018,18,323
120070,2019,15,287
120080,2012,25,336
120080,2013,23,352
120080,2014,26,361
120080,2015,23,354
120080,2016,22,352
120080,2017,35,421
120080,2018,28,385
120080,2019,14,371
130000,2012,2,8
130000,2013,2,18
130000,2014,2,15
130000,2015,1,5
130000,2016,2,23
130000,2017,4,17
130000,2018,4,25
130000,2019,1,12
130002,2012,23,319
130002,2013,12,336
130002,2014,14,299
130002,2015,15,339
130002,2016,19,319
130002,2017,19,399
130002,2018,22,338
130002,2019,26,416
130006,2012,12,240
130006,2013,12,259
130006,2014,9,260
130006,2015,9,213
130006,2016,11,280
130006,2017,13,265
130006,2018,8,245
130006,2019,11,261
130008,2012,12,196
130008,2013,12,200
130008,2014,10,211
130008,2015,11,159
130008,2016,7,179
130008,2017,9,189
130008,2018,7,206
130008,2019,9,187
130010,2012,15,241
130010,2013,15,277
130010,2014,10,265
130010,2015,14,248
130010,2016,16,263
130010,2017,13,252
130010,2018,18,247
130010,2019,15,229
130014,2012,12,193
130014,2013,12,219
130014,2014,14,220
130014,2015,11,202
130014,2016,9,204
130014,2017,14,229
130014,2018,13,242
130014,2019,15,237
130020,2012,22,355
130020,2013,17,354
130020,2014,20,429
130020,2015,22,436
130020,2016,30,378
130020,2017,24,374
130020,2018,25,353
130020,2019,25,313
130030,2012,47,866
130030,2013,51,861
130030,2014,51,948
130030,2015,45,818
130030,2016,47,885
130030,2017,37,875
130030,2018,63,942
130030,2019,42,865
130040,2012,34,466
130040,2013,32,475
130040,2014,18,408
130040,2015,26,498
130040,2016,33,492
130040,2017,52,521
130040,2018,70,564
130040,2019,56,555
130050,2012,37,706
130050,2013,43,761
130050,2014,49,754
130050,2015,36,801
130050,2016,57,796
130050,2017,57,861
130050,2018,55,845
130050,2019,42,848
130060,2012,67,1051
130060,2013,77,1027
130060,2014,63,1057
130060,2015,56,952
130060,2016,69,1011
130060,2017,68,1032
130060,2018,71,970
130060,2019,69,1020
130063,2012,17,423
130063,2013,23,425
130063,2014,10,476
130063,2015,28,487
130063,2016,26,500
130063,2017,30,597
130063,2018,23,493
130063,2019,19,521
130068,2012,16,257
130068,2013,13,313
130068,2014,12,327
130068,2015,19,368
130068,2016,22,311
130068,2017,20,315
130068,2018,17,314
130068,2019,28,328
130070,2012,42,729
130070,2013,51,755
130070,2014,31,721
130070,2015,41,681
130070,2016,29,647
130070,2017,39,749
130070,2018,49,728
130070,2019,30,714
130080,2012,42,677
130080,2013,46,685
130080,2014,40,699
130080,2015,38,715
130080,2016,38,653
130080,2017,49,783
130080,2018,53,781
130080,2019,51,758
130083,2012,8,138
130083,2013,14,201
130083,2014,12,201
130083,2015,9,171
130083,2016,9,180
130083,2017,14,211
130083,2018,5,184
130083,2019,12,163
130090,2012,13,207
130090,2013,7,196
130090,2014,6,226
130090,2015,8,217
130090,2016,14,216
130090,2017,4,180
130090,2018,8,216
130090,2019,10,190
130100,2012,45,652
130100,2013,33,619
130100,2014,35,645
130100,2015,21,617
130100,2016,20,610
130100,2017,16,619
130100,2018,19,624
130100,2019,26,622
130110,2012,20,408
130110,2013,27,438
130110,2014,27,472
130110,2015,28,416
130110,2016,35,471
130110,2017,33,503
130110,2018,28,537
130110,2019,33,558
130115,2012,14,169
130115,2013,9,166
130115,2014,13,208
130115,2015,11,207
130115,2016,10,197
130115,2017,9,233
130115,2018,22,266
130115,2019,9,196
130120,2012,105,1650
130120,2013,115,1719
130120,2014,121,1666
130120,2015,100,1722
130120,2016,92,1631
130120,2017,99,1621
130120,2018,119,1735
130120,2019,104,1680
130130,2012,18,426
130130,2013,22,417
130130,2014,19,412
130130,2015,22,422
130130,2016,14,401
130130,2017,23,434
130130,2018,22,424
130130,2019,21,466
130140,2012,67,813
130140,2013,72,841
130140,2014,63,840
130140,2015,55,816
130140,2016,69,782
130140,2017,53,836
130140,2018,52,818
130140,2019,30,784
130150,2012,23,310
130150,2013,40,357
130150,2014,25,381
130150,2015,24,408
130150,2016,23,355
130150,2017,21,420
130150,2018,19,365
130150,2019,18,383
130160,2012,38,511
130160,2013,37,536
130160,2014,42,597
130160,2015,40,661
130160,2016,39,569
130160,2017,41,614
130160,2018,45,615
130160,2019,40,573
130165,2012,23,336
130165,2013,27,305
130165,2014,24,346
130165,2015,33,322
130165,2016,21,284
130165,2017,20,321
130165,2018,23,289
130165,2019,20,278
130170,2012,52,832
130170,2013,52,886
130170,2014,52,958
130170,2015,49,932
130170,2016,61,967
130170,2017,59,985
130170,2018,47,999
130170,2019,63,962
130180,2012,30,425
130180,2013,28,403
130180,2014,29,397
130180,2015,29,430
130180,2016,28,386
130180,2017,44,398
130180,2018,36,408
130180,2019,25,368
130185,2012,53,885
130185,2013,60,834
130185,2014,56,866
130185,2015,59,856
130185,2016,80,913
130185,2017,44,924
130185,2018,60,937
130185,2019,69,1002
130190,2012,123,1990
130190,2013,130,2063
130190,2014,107,2055
130190,2015,123,2047
130190,2016,142,2008
130190,2017,128,1955
130190,2018,117,2046
130190,2019,134,1989
130195,2012,11,195
130195,2013,44,253
130195,2014,34,250
130195,2015,19,289
130195,2016,27,260
130195,2017,16,238
130195,2018,22,298
130195,2019,18,243
130200,2012,7,196
130200,2013,5,182
130200,2014,8,152
130200,2015,7,148
130200,2016,13,186
130200,2017,11,163
130200,2018,12,169
130200,2019,9,173
130210,2012,12,141
130210,2013,11,128
130210,2014,10,148
130210,2015,7,167
130210,2016,9,148
130210,2017,11,161
130210,2018,8,147
130210,2019,6,121
130220,2012,10,171
130220,2013,5,195
130220,2014,12,189
130220,2015,16,204
130220,2016,14,166
130220,2017,18,252
130220,2018,16,249
130220,2019,9,233
130230,2012,46,593
130230,2013,66,609
130230,2014,54,621
130230,2015,41,630
130230,2016,36,599
130230,2017,46,652
130230,2018,37,635
130230,2019,49,639
130240,2012,37,677
130240,2013,33,725
130240,2014,41,701
130240,2015,28,646
130240,2016,50,649
130240,2017,45,724
130240,2018,52,773
130240,2019,56,874
130250,2012,126,1860
130250,2013,131,1988
130250,2014,119,2099
130250,2015,112,2053
130250,2016,109,1772
130250,2017,95,1910
130250,2018,128,2042
130250,2019,115,2087
130255,2012,15,244
130255,2013,8,244
130255,2014,15,228
130255,2015,14,234
130255,2016,13,245
130255,2017,16,292
130255,2018,18,301
130255,2019,14,273
130260,2012,2860,40487
130260,2013,3080,40829
130260,2014,3116,41988
130260,2015,3080,41533
130260,2016,2828,38946
130260,2017,2752,37900
130260,2018,2605,37916
130260,2019,2891,37297
130270,2012,39,803
130270,2013,50,830
130270,2014,61,879
130270,2015,52,923
130270,2016,34,902
130270,2017,50,977
130270,2018,46,1001
130270,2019,56,999
130280,2012,19,308
130280,2013,19,328
130280,2014,21,397
130280,2015,20,318
130280,2016,17,357
130280,2017,26,407
